"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2006","30.14","29.90","30.30","28.50","157.23K","0.23%"
"11/01/2006","30.07","27.40","30.25","27.40","151.27K","9.35%"
"10/01/2006","27.50","24.71","28.40","23.89","125.73K","11.61%"
"09/01/2006","24.64","25.72","25.76","24.12","210.56K","-4.27%"
"08/01/2006","25.74","27.10","27.57","24.98","237.53K","-5.09%"
"07/01/2006","27.12","26.84","28.02","26.15","44.64K","1.88%"
"06/01/2006","26.62","25.45","26.85","24.40","54.79K","3.78%"
"05/01/2006","25.65","25.94","26.91","25.00","20.83K","-0.66%"
"04/01/2006","25.82","23.45","26.73","22.88","19.62K","9.87%"
"03/01/2006","23.50","24.21","25.35","23.22","50.65K","-3.37%"
"02/01/2006","24.32","23.18","24.41","22.48","46.75K","4.83%"
"01/01/2006","23.20","22.14","23.99","21.71","58.73K","4.79%"
"12/01/2005","22.14","21.70","22.53","21.13","146.69K","2.31%"
"11/01/2005","21.64","23.50","24.02","21.25","91.42K","-7.36%"
"10/01/2005","23.36","24.16","25.19","23.30","77.44K","-3.51%"
"09/01/2005","24.21","22.79","24.22","22.10","137.33K","6.18%"
"08/01/2005","22.80","24.47","25.30","22.20","175.31K","-6.60%"
"07/01/2005","24.41","24.35","26.15","23.99","42.34K","1.75%"
"06/01/2005","23.99","23.26","26.59","22.82","46.91K","2.70%"
"05/01/2005","23.36","22.40","24.00","22.03","25.19K","3.27%"
"04/01/2005","22.62","22.90","23.30","22.28","16.15K","-1.22%"
"03/01/2005","22.90","23.41","24.80","22.05","67.76K","-2.18%"
"02/01/2005","23.41","19.63","23.60","19.17","122.13K","19.01%"
"01/01/2005","19.67","20.65","20.65","19.45","63.97K","-6.42%"
"12/01/2004","21.02","20.94","21.65","19.89","109.92K","0.57%"
"11/01/2004","20.90","21.63","22.03","20.16","91.84K","-3.42%"
"10/01/2004","21.64","20.85","22.15","19.80","74.79K","4.24%"
"09/01/2004","20.76","25.16","26.10","20.60","149.70K","-17.62%"
"08/01/2004","25.20","20.95","25.25","20.85","159.53K","19.66%"
"07/01/2004","21.06","26.50","27.95","20.95","54.77K","-20.08%"
"06/01/2004","26.35","27.55","28.80","25.65","37.34K","-2.23%"
"05/01/2004","26.95","32.30","32.45","26.50","56.68K","-15.86%"
