Date;Food;Fertil;GPRH;Metal;Oil;Raw_Material;Temperature Anomalies;VIX;Euro_Dollars;Viande;Huile;Wheat;Sucre
2013-03-01;122,9;129,7142914294;55,701545715332;94,54730708283;92,94;95,18855319104;0,67;12,7;1,2818;128,9;50,34;684,5;17,7
2013-04-01;122,9;117,31720084841;76,689697265625;90,7332321538;92,02;94,44463051141;0,58;13,52;1,3166;128,4;49,04;730,25;17,6
2013-05-01;122,1;123,66371024963;73,3460998535156;88,3155085324;94,51;94,99686962532;0,68;16,299999;1,2995;121,3;48,21;706,63;16,9
2013-06-01;120,9;114,44710171192;71,1839218139648;85,4117449957;95,77;95,14239465382;0,69;16,860001;1,3008;118,15;45,91;656,88;16,92
2013-07-01;117,9;110,3313765344;58,9587364196777;85,66884144195;104,67;92,91988076616;0,66;13,45;1,33;121,45;42,41;663,63;17,47
2013-08-01;116,2;107,22577872806;71,7505187988281;89,63748054703;106,57;94,16284781762;0,68;17,01;1,322;122,7;44,29;654,88;16,88
2013-09-01;116,4;102,13922505734;85,7788314819336;88,15323760672;106,29;95,17738853224;0,68;16,6;1,3524;127,85;41,4;679,13;18,14
2013-10-01;118,8;98,31309926334;64,7018356323242;89,07356330013;100,54;95,39443533454;0,66;13,75;1,3582;134,5;41,99;667,38;18,19
2013-11-01;118,7;99,74911090263;68,7341232299805;87,82071529155;93,86;95,24535958242;0,81;13,7;1,3589;133,47;40,86;668,25;17,24
2013-12-01;118,2;101,24974297873;70,1871109008789;88,71366598638;97,63;95,59141551023;0,67;13,72;1,3745;134,5;39,49;605,13;16,56
2014-01-01;116,2;105,66526447645;71,9802169799805;88,07568877782;94,62;95,16985388747;0,69;18,41;1,3485;141,68;38,25;555;15,76
2014-02-01;118,5;105,60942788655;63,7806968688965;86,16332398817;100,82;95,2628600598;0,49;14;1,3802;151,95;41,87;600,38;17,66
2014-03-01;122,1;102,59859795258;92,2150802612305;82,97936173713;100,8;96,55426128582;0,76;13,88;1,377;145,85;40,5;697,13;18,13
2014-04-01;121,5;94,90837907642;75,93310546875;85,47825515708;102,07;95,75856755526;0,8;13,41;1,3866;145,82;42,08;721,5;17,72
2014-05-01;121,3;96,03112235443;73,1231307983398;84,84713666365;102,18;95,22598971479;0,8;11,4;1,363;137,8;38,68;628,13;18,19
2014-06-01;119,3;99,49879505757;82,3318405151367;84,35901480662;105,79;94,87029800421;0,77;11,57;1,3691;153;39,04;576,75;18,01
2014-07-01;116,4;100,48395111002;104,568336486816;88,18183043721;103,59;94,28753122569;0,71;16,950001;1,3388;157,93;36,22;530,38;18,25
